Timestamp,Model_Name,Task_Type,Provider,Prompt_Tokens,Completion_Tokens,Cache_Hit_Tokens,TTFT_ms,TPOT_ms,Total_Latency_ms,Estimated_Cost_USD,Status_Code
2026-06-01 00:02:21,claude-3-5-sonnet,Summarization,Anthropic_API,16155,795,0,83,36.3,28854,0.060879,200
2026-06-01 00:02:29,claude-3-5-sonnet,Summarization,Anthropic_API,8489,616,143,98,27.91,17207,0.035168,200
2026-06-01 00:20:19,llama-3-70b-instruct,Summarization,Together_AI,50,59,0,53,18.56,1111,9.8e-05,200
2026-06-01 00:47:39,mistral-7b-instruct,Summarization,Self_Hosted_vLLM,3633,663,0,26,11.81,7871,0.000865,200
2026-06-01 00:50:02,llama-3-70b-instruct,Code_Generation,Together_AI,383,1723,0,61,18.39,31818,0.00188,200
2026-06-01 00:52:17,llama-3-70b-instruct,Customer_Support_Chat,Together_AI,197,140,0,72,21.23,3147,0.000301,200
2026-06-01 00:57:16,claude-3-5-sonnet,Code_Generation,Anthropic_API,1031,858,140,130,26.15,22634,0.015511,200
2026-06-01 01:02:54,mistral-7b-instruct,Customer_Support_Chat,Self_Hosted_vLLM,496,270,0,53,13.11,3647,0.000153,200
2026-06-01 01:05:16,gpt-4o,Summarization,OpenAI_API,8653,560,0,92,21.77,12245,0.027218,200
2026-06-01 01:10:49,claude-3-5-sonnet,Code_Generation,Anthropic_API,3136,1192,0,183,24.79,29713,0.026713,200
2026-06-01 01:10:58,claude-3-5-sonnet,Customer_Support_Chat,Anthropic_API,571,241,0,76,28.91,6973,,200
2026-06-01 01:21:56,gpt-4o,Code_Generation,OpenAI_API,2109,940,0,76,27.1,25529,0.014961,200
2026-06-01 01:23:31,llama-3-70b-instruct,Summarization,Together_AI,2573,661,0,70,17.31,11497,0.002837,200
2026-06-01 01:23:40,mistral-7b-instruct,Customer_Support_Chat,Self_Hosted_vLLM,348,90,0,46,11.76,1148,8.5e-05,200
2026-06-01 01:26:56,mistral-7b-instruct,Customer_Support_Chat,Self_Hosted_vLLM,681,239,0,43,12.08,2903,0.000187,200
2026-06-01 01:31:28,gpt-4o,Summarization,OpenAI_API,4789,740,0,67,21.11,15693,0.019609,200
2026-06-01 01:32:19,claude-3-5-sonnet,Extraction_JSON,Anthropic_API,1221,1,0,126,24.07,183,0.003771,200
2026-06-01 01:44:47,gpt-4o,Code_Generation,OpenAI_API,2138,321,0,92,26.85,8750,0.008777,200
2026-06-01 01:47:39,mistral-7b-instruct,Extraction_JSON,Self_Hosted_vLLM,2729,335,0,48,9.4,3257,0.000596,200
2026-06-01 01:58:45,gpt-4o,Customer_Support_Chat,OpenAI_API,406,165,0,105,21.64,3688,0.002643,200
2026-06-01 02:13:31,llama-3-70b-instruct,Customer_Support_Chat,Together_AI,609,256,0,68,10.66,2765,0.00078,200
2026-06-01 02:16:38,llama-3-70b-instruct,Customer_Support_Chat,Together_AI,576,184,0,37,18.91,3433,0.000676,200
2026-06-01 02:23:02,gpt-4o,Customer_Support_Chat,OpenAI_API,338,80,10,84,22.12,1836,0.00157,200
2026-06-01 02:23:46,llama-3-70b-instruct,Code_Generation,Together_AI,844,570,0,79,18.15,10358,0.001227,200
2026-06-01 02:26:46,claude-3-5-sonnet,Extraction_JSON,Anthropic_API,1414,565,0,126,31.31,17794,,200
2026-06-01 02:27:34,claude-3-5-sonnet,Summarization,Anthropic_API,9389,638,0,179,29.06,18757,0.03775,200
2026-06-01 02:41:02,mistral-7b-instruct,Customer_Support_Chat,Self_Hosted_vLLM,488,137,0,47,13.1,1927,0.000127,200
2026-06-01 02:43:40,llama-3-70b-instruct,Summarization,Together_AI,4302,404,0,58,16.77,6883,0.004387,200
2026-06-01 02:56:11,llama-3-70b-instruct,Customer_Support_Chat,Together_AI,494,234,0,45,16.48,3910,0.000655,200
2026-06-01 03:01:53,gpt-4o,Summarization,OpenAI_API,8942,862,0,69,31.99,27712,0.030936,200
2026-06-01 03:03:51,mistral-7b-instruct,Extraction_JSON,Self_Hosted_vLLM,838,426,0,43,11.19,4784,0.000256,200
2026-06-01 03:09:01,mistral-7b-instruct,Code_Generation,Self_Hosted_vLLM,2081,1204,0,63,11.38,13797,0.000644,200
2026-06-01 03:19:17,gpt-4o,Customer_Support_Chat,OpenAI_API,417,232,241,78,23.26,5482,0.003078,200
2026-06-01 03:21:51,claude-3-5-sonnet,Customer_Support_Chat,Anthropic_API,377,263,135,149,26.98,7294,0.004634,200
2026-06-01 03:30:09,gpt-4o,Customer_Support_Chat,OpenAI_API,398,244,0,117,27.6,6814,,200
2026-06-01 03:42:20,llama-3-70b-instruct,Customer_Support_Chat,Together_AI,490,331,0,67,21.13,7123,0.000729,200
